Time(s)	GREEN_denoised_median
6.450000	69.540549
6.460000	171.833221
6.470000	276.421702
6.480000	379.644833
6.490000	452.977145
6.500000	452.977145
6.510000	452.977145
6.520000	245.195620
6.530000	-64.126223
6.540000	-396.912591
6.550000	-693.301869
6.560000	-927.135846
6.570000	-1105.591772
6.580000	-1239.391755
6.590000	-1343.917604
6.600000	-1427.652052
6.610000	-1481.217917
6.620000	-1489.625913
6.630000	-1493.262151
6.640000	-1494.935242
6.650000	-1513.000981
6.660000	-1553.606886
6.670000	-1605.360810
6.680000	-1656.971981
6.690000	-1693.736067
6.700000	-1694.825089
6.710000	-1694.825089
6.720000	-1694.825089
6.730000	-1661.606777
6.740000	-1618.294646
6.750000	-1559.052799
6.760000	-1492.830202
6.770000	-1410.474538
6.780000	-1323.447842
6.790000	-1231.890672
6.800000	-1136.091393
6.810000	-1039.340562
6.820000	-931.724187
6.830000	-824.875135
6.840000	-718.349298
6.850000	-617.450964
6.860000	-513.962714
6.870000	-409.078054
6.880000	-311.622470
6.890000	-207.667991
6.900000	-96.343389
6.910000	3.663090
6.920000	3.663090
6.930000	3.663090
6.940000	-21.705157
6.950000	-277.974398
6.960000	-598.252396
6.970000	-905.705297
6.980000	-1159.924635
6.990000	-1353.551875
7.000000	-1502.686153
7.010000	-1615.401200
7.020000	-1703.482585
7.030000	-1764.235392
7.040000	-1767.163677
7.050000	-1770.024300
7.060000	-1775.151511
7.070000	-1775.151511
7.080000	-1798.089987
7.090000	-1840.852737
7.100000	-1886.035225
7.110000	-1925.716761
7.120000	-1941.980914
7.130000	-1941.980914
7.140000	-1941.980914
7.150000	-1913.575923
7.160000	-1870.986089
7.170000	-1812.534733
7.180000	-1742.028451
7.190000	-1664.518828
7.200000	-1576.067715
7.210000	-1479.542926
7.220000	-1379.131620
7.230000	-1273.572773
7.240000	-1165.225869
7.250000	-1055.620420
7.260000	-944.334509
7.270000	-828.681262
7.280000	-715.488355
7.290000	-603.739283
7.300000	-490.655731
7.310000	-377.827312
7.320000	-272.857274
7.330000	-163.879151
7.340000	-48.100657
7.350000	71.035337
7.360000	186.630290
7.370000	297.950950
7.380000	297.950950
7.390000	297.950950
7.400000	104.853150
7.410000	-179.064698
7.420000	-476.483569
7.430000	-720.984104
7.440000	-919.033719
7.450000	-1057.863550
7.460000	-1160.695223
7.470000	-1226.689034
7.480000	-1277.369361
7.490000	-1277.369361
7.500000	-1277.369361
7.510000	-1263.298470
7.520000	-1263.298470
7.530000	-1263.298470
7.540000	-1313.801681
7.550000	-1351.410152
7.560000	-1400.336728
7.570000	-1401.965614
7.580000	-1401.965614
7.590000	-1401.965614
7.600000	-1391.299911
7.610000	-1326.223581
7.620000	-1293.902096
7.630000	-1203.999056
7.640000	-1157.032996
7.650000	-1043.200863
7.660000	-988.815872
7.670000	-857.684604
7.680000	-806.405307
7.690000	-656.249178
7.700000	412.765228
7.710000	571.910649
7.720000	632.185809
7.730000	632.185809
7.740000	632.185809
7.750000	494.496403
7.760000	220.508184
7.770000	5.474861
7.780000	-217.289792
7.790000	-343.072220
7.800000	-459.612115
7.810000	-502.195794
7.820000	-524.321587
7.830000	-524.321587
7.840000	-524.321587
7.850000	-464.469327
7.860000	-441.981064
7.870000	-441.981064
7.880000	-441.981064
7.890000	-468.762608
7.900000	-505.523037
7.910000	-511.400678
7.920000	-511.400678
7.930000	-511.400678
7.940000	-485.064376
7.950000	-439.029674
7.960000	-389.965925
7.970000	-329.576228
7.980000	-259.881348
7.990000	-175.086256
8.000000	-88.834504
8.010000	7.481086
8.020000	105.181721
8.030000	217.125038
8.040000	323.125248
8.050000	436.880715
8.060000	545.013667
8.070000	657.720996
8.080000	768.877705
8.090000	875.591195
8.100000	979.776575
8.110000	1089.500497
8.120000	1199.662062
8.130000	1315.461446
8.140000	1423.520441
8.150000	1483.608982
8.160000	1483.608982
8.170000	1483.608982
8.180000	1292.024981
8.190000	1045.976412
8.200000	802.826054
8.210000	611.347879
8.220000	468.512970
8.230000	381.776759
8.240000	311.098539
8.250000	295.275996
8.260000	295.275996
8.270000	295.275996
8.280000	331.826029
8.290000	378.295692
8.300000	378.295692
8.310000	378.295692
8.320000	362.023140
8.330000	342.060471
8.340000	318.812148
8.350000	318.812148
8.360000	318.812148
8.370000	361.937695
8.380000	383.736766
8.390000	460.544429
8.400000	1465.181918
8.410000	1588.822876
8.420000	1685.979636
8.430000	1791.889063
8.440000	1901.705635
8.450000	2002.973136
8.460000	2131.603676
8.470000	2215.800969
8.480000	2215.800969
8.490000	2215.800969
8.500000	1096.043016
8.510000	1089.108773
8.520000	1089.108773
8.530000	1089.523425
8.540000	1089.523425
8.550000	1089.108773
8.560000	1072.694899
8.570000	1020.579426
8.580000	1000.204183
8.590000	1000.204183
8.600000	1000.204183
8.610000	1022.297550
8.620000	1051.495501
8.630000	1110.326919
8.640000	1150.980778
8.650000	1234.700826
8.660000	1289.144393
8.670000	1402.561283
8.680000	1454.781257
8.690000	1585.180506
8.700000	2654.445358
8.710000	2801.370143
8.720000	2801.370143
8.730000	2801.370143
8.740000	2719.868261
8.750000	2522.810531
8.760000	2238.775035
8.770000	2026.586671
8.780000	1825.124931
8.790000	1714.798820
8.800000	1612.071882
8.810000	1574.445728
8.820000	1574.445728
8.830000	1574.445728
8.840000	1586.234313
8.850000	1640.593403
8.860000	1640.593403
8.870000	1640.593403
8.880000	1628.807517
8.890000	1597.745074
8.900000	1548.921017
8.910000	1528.668812
8.920000	1528.668812
8.930000	1528.668812
8.940000	1535.771366
8.950000	1566.018112
8.960000	1600.638113
8.970000	1637.336913
8.980000	1673.550717
8.990000	1715.726926
9.000000	1763.490901
9.010000	1828.195311
