2025-10-08 21:06:47    绿光---红外光---红光
-4.021934E+08 -1.745346E+09 2.7254E+07
7.888982E+08 -1.047263E+09 -2.742702E+08
1.442947E+09 6.140867E+07 -1.55105E+08
1.089448E+09 -1.61343E+09 1.176085E+08
-1.325954E+08 -1.607143E+09 9.424154E+07
-1.002042E+08 -5.373753E+08 2.727576E+07
1.090887E+09 -1.058732E+09 -2.722385E+08
-9.394173E+08 -1.048433E+07 1.472291E+09
2.112892E+09 -1.673461E+09 1.174042E+08
-1.285321E+08 -1.577652E+09 9.416166E+07
-1.761149E+09 -1.347183E+08 2.743141E+07
-3.855079E+08 -1.045822E+09 -2.74139E+08
-1.006526E+09 6292894 1.874968E+09
-7.72823E+08 -1.614217E+09 1.17491E+08
-1.260416E+08 -1.538527E+09 9.439718E+07
-7.880702E+08 -1.292338E+09 2.757605E+07
-2.680666E+08 -1.047657E+09 -2.762362E+08
1.459726E+09 2.136618E+07 1.119973E+09
-1.376785E+09 -1.56146E+09 1.175337E+08
-1.274835E+08 -1.490358E+09 9.460224E+07
-9.893966E+08 -4.534754E+08 2.775755E+07
2.030413E+09 -1.044314E+09 -2.704035E+08
-2.046712E+09 1.795831E+07 1.975623E+09
-1.343237E+09 -1.591345E+09 1.174054E+08
-1.277457E+08 -1.499992E+09 9.408461E+07
1.141308E+09 2.06309E+09 2.760037E+07
1.443207E+09 -1.051589E+09 -2.760396E+08
-1.358847E+09 -2.254424E+08 1.80786E+09
-1.712355E+09 -1.962279E+09 1.165274E+08
-1.278112E+08 -1.549013E+09 9.2992E+07
2.114384E+09 -1.510451E+09 2.750283E+07
-1.325037E+09 -1.048247E+09 -2.728283E+08
-1.560174E+09 -2.459552E+08 1.740737E+09
-2.131787E+09 -1.974665E+09 1.164575E+08
-1.283355E+08 -1.555436E+09 9.290342E+07
-7.5452E+08 -1.342669E+09 2.743474E+07
-1.442478E+09 -1.04189E+09 -2.711243E+08
-6.709833E+08 -4.615031E+08 1.824627E+09
2.505761E+08 1.646265E+09 1.154225E+08
-1.261728E+08 -1.931678E+09 8.810573E+07
1.728504E+09 1.844995E+09 2.540158E+07
1.174741E+09 -1.053358E+09 -2.772848E+08
-1.677631E+09 -1.711209E+09 1.640041E+09
