Time(s)	RED_denoised_median
5.790000	-2824.628449
5.800000	-2875.649872
5.810000	-2875.649872
5.820000	-2875.649872
5.830000	-2870.184234
5.840000	-2756.744861
5.850000	-2700.046197
5.860000	-2648.467722
5.870000	-2624.266077
5.880000	-2584.164873
5.890000	-2553.828847
5.900000	-2527.929676
5.910000	-2510.569519
5.920000	-2491.807118
5.930000	-2472.490225
5.940000	-2432.777312
5.950000	-2391.666346
5.960000	-2379.172584
5.970000	-2379.172584
5.980000	-2379.172584
5.990000	-2387.340388
6.000000	-2408.568875
6.010000	-2418.846247
6.020000	-2418.846247
6.030000	-2418.846247
6.040000	-2407.366996
6.050000	-2404.967601
6.060000	-2392.563366
6.070000	-2379.631695
6.080000	-2368.242297
6.090000	-2336.973879
6.100000	-2316.197831
6.110000	-2293.755064
6.120000	-2292.328602
6.130000	-2288.612892
6.140000	-2285.377819
6.150000	-2266.379759
6.160000	-2256.065111
6.170000	-2250.030292
6.180000	-2221.590334
6.190000	-2203.969494
6.200000	-2179.097589
6.210000	-2141.063788
6.220000	-2117.818307
6.230000	-2088.142247
6.240000	-2075.780471
6.250000	-2069.240599
6.260000	-2040.813482
6.270000	-2015.984877
6.280000	-2012.859446
6.290000	-2012.589818
6.300000	-1987.327499
6.310000	-1972.372053
6.320000	-1959.664046
6.330000	-1927.955191
6.340000	-1927.301061
6.350000	-1911.376838
6.360000	-1882.172589
6.370000	-1867.971088
6.380000	-1833.969798
6.390000	-1807.834413
6.400000	-1791.793183
6.410000	-1767.847788
6.420000	-1767.736447
6.430000	-1758.549456
6.440000	-1731.060587
6.450000	-1700.516723
6.460000	-1671.330979
6.470000	-1643.557523
6.480000	-1605.653475
6.490000	-1574.759502
6.500000	-1542.988058
6.510000	-1511.064386
6.520000	-1472.380159
6.530000	-1408.412607
6.540000	-1338.951943
6.550000	-1266.786970
6.560000	-1194.594629
6.570000	-1146.289238
6.580000	-1078.119401
6.590000	-1017.052024
6.600000	-987.702342
6.610000	-974.768137
6.620000	-969.607166
6.630000	-965.353184
6.640000	-918.845438
6.650000	-865.846879
6.660000	-865.846879
6.670000	-865.846879
6.680000	-896.146582
6.690000	-896.146582
6.700000	-896.146582
6.710000	-856.636254
6.720000	-720.378105
6.730000	-638.326491
6.740000	-551.531450
6.750000	-419.105393
6.760000	-238.828306
6.770000	-108.193724
6.780000	-13.854536
6.790000	88.771684
6.800000	178.909428
6.810000	233.702839
6.820000	290.812822
6.830000	380.588881
6.840000	435.419860
6.850000	456.334352
6.860000	459.489990
6.870000	465.402384
6.880000	485.979244
6.890000	503.309781
6.900000	505.316120
6.910000	505.576062
6.920000	526.194089
6.930000	569.252706
6.940000	599.707818
6.950000	617.279886
6.960000	617.279886
6.970000	625.114371
6.980000	642.275632
6.990000	646.900138
7.000000	683.787049
7.010000	727.787227
7.020000	752.387475
7.030000	754.748797
7.040000	754.748797
7.050000	754.748797
7.060000	723.821534
7.070000	698.579514
7.080000	658.400147
7.090000	629.735334
7.100000	628.860214
7.110000	622.955753
7.120000	583.385140
7.130000	579.980364
7.140000	579.980364
7.150000	579.980364
7.160000	589.827605
7.170000	618.694676
7.180000	643.962619
7.190000	658.487402
7.200000	677.195784
7.210000	700.372282
7.220000	700.372282
7.230000	701.330558
7.240000	701.330558
7.250000	703.990681
7.260000	703.990681
7.270000	703.990681
7.280000	684.796552
7.290000	670.369221
7.300000	644.187793
7.310000	644.187793
7.320000	644.187793
7.330000	683.733120
7.340000	698.959968
7.350000	794.053970
7.360000	847.106568
7.370000	1001.166972
7.380000	1078.437908
7.390000	1275.375394
7.400000	2592.045460
7.410000	2764.690039
7.420000	2789.679274
7.430000	2908.003549
7.440000	2915.164577
7.450000	2977.873118
7.460000	2984.431148
7.470000	3017.948016
7.480000	3017.948016
7.490000	3017.948016
7.500000	3013.136108
7.510000	3003.622801
7.520000	2989.224175
7.530000	2985.852049
7.540000	2985.852049
7.550000	2989.224175
7.560000	2995.356142
7.570000	3010.766583
7.580000	3010.766583
7.590000	3010.766583
7.600000	3006.336373
7.610000	2997.488777
7.620000	2969.775365
7.630000	2948.259846
7.640000	2936.332574
7.650000	2933.975298
7.660000	2924.166807
7.670000	2924.166807
7.680000	2919.642065
7.690000	2919.642065
7.700000	2919.809976
7.710000	2919.905246
7.720000	2919.809976
7.730000	2919.809976
7.740000	2918.156583
7.750000	2905.811346
7.760000	2900.475016
7.770000	2888.002857
7.780000	2864.937301
7.790000	2836.333085
7.800000	2802.502719
7.810000	2766.788596
7.820000	2710.124336
7.830000	2658.486334
7.840000	2583.716534
7.850000	2515.462839
7.860000	2492.454388
7.870000	2457.296748
7.880000	2425.514621
7.890000	2380.164251
7.900000	2361.856356
7.910000	2338.957393
7.920000	2310.406750
7.930000	2292.924669
7.940000	2262.972462
7.950000	2256.180931
7.960000	2220.424183
7.970000	2198.826396
7.980000	2193.892469
7.990000	2174.508176
8.000000	2169.587104
8.010000	2169.587104
8.020000	2169.587104
8.030000	2169.587104
8.040000	2170.083522
8.050000	2171.700266
8.060000	2171.700266
8.070000	2171.700266
8.080000	2171.700266
8.090000	2171.700266
8.100000	2099.343017
8.110000	2076.096689
8.120000	2057.618879
8.130000	2042.902154
8.140000	2025.013353
8.150000	2021.537995
8.160000	2015.912957
8.170000	2014.891905
8.180000	2001.287425
8.190000	1976.056925
8.200000	1968.254809
8.210000	1950.184612
8.220000	1928.453417
8.230000	1916.468191
8.240000	1912.748548
8.250000	1897.840000
8.260000	1893.660728
8.270000	1888.286663
8.280000	1888.286663
8.290000	1892.299192
8.300000	1893.660728
8.310000	1899.179460
8.320000	1901.072544
8.330000	1902.244194
8.340000	1902.244194
8.350000	1902.244194
8.360000	1880.292756
8.370000	1879.951117
8.380000	1873.485293
8.390000	1868.526332
8.400000	1853.710481
8.410000	1799.731598
8.420000	1761.124695
8.430000	1720.484767
8.440000	1675.719825
8.450000	1666.491423
8.460000	1656.943357
8.470000	1656.943357
8.480000	1656.943357
8.490000	1673.030772
8.500000	1705.903353
8.510000	1725.311764
8.520000	1743.117174
8.530000	1744.206692
8.540000	1748.101460
8.550000	1748.101460
8.560000	1744.206692
8.570000	1740.586135
8.580000	1737.052344
8.590000	1731.706109
8.600000	1730.039817
8.610000	1719.159443
8.620000	1714.180978
8.630000	1695.735506
8.640000	1688.291038
8.650000	1669.816583
8.660000	1668.300215
8.670000	1668.300215
8.680000	1668.300215
8.690000	1668.300215
8.700000	1664.871952
8.710000	1657.069281
8.720000	1655.627787
8.730000	1647.596493
8.740000	1616.506704
8.750000	1597.947514
8.760000	1579.281088
8.770000	1554.000212
8.780000	1540.254405
8.790000	1536.128605
8.800000	1524.499571
8.810000	1523.313080
8.820000	1522.391447
8.830000	1496.992200
8.840000	1479.739704
8.850000	1465.512571
8.860000	1438.185420
8.870000	1407.230447
8.880000	1370.726549
8.890000	1334.094693
8.900000	1317.433685
8.910000	1308.996646
8.920000	1304.285377
8.930000	1301.028828
8.940000	1286.231182
8.950000	1259.217868
8.960000	1253.393042
8.970000	1245.780634
8.980000	1244.569702
8.990000	1244.370069
9.000000	1230.295541
9.010000	1211.942227
9.020000	1211.942227
9.030000	1211.942227
9.040000	1250.675012
9.050000	1312.999142
9.060000	1369.510296
9.070000	1421.735022
9.080000	1466.447655
9.090000	1506.917009
9.100000	1521.643655
9.110000	1525.278975
9.120000	1539.341429
9.130000	1599.037601
9.140000	1661.512214
9.150000	1709.287763
9.160000	1762.896970
9.170000	1856.684696
9.180000	1948.178828
9.190000	2025.272354
9.200000	2088.602242
9.210000	2175.065374
9.220000	2247.928399
9.230000	2303.052080
9.240000	2381.482001
9.250000	2438.906851
9.260000	2461.220216
9.270000	2516.087000
9.280000	2578.804643
9.290000	2664.475485
9.300000	2746.372278
9.310000	2783.443473
9.320000	2783.443473
9.330000	2783.443473
9.340000	2602.319157
9.350000	2265.214058
9.360000	1614.714237
9.370000	692.623047
9.380000	-40.650754
9.390000	-377.573358
9.400000	-528.074252
9.410000	-528.074252
9.420000	-528.074252
9.430000	-487.133811
9.440000	-360.305948
9.450000	-197.471339
9.460000	51.632716
9.470000	311.927610
9.480000	475.561061
9.490000	641.974563
9.500000	801.266699
9.510000	938.083104
9.520000	1080.166223
9.530000	1187.078847
9.540000	1292.342280
9.550000	1386.027584
9.560000	1444.552094
9.570000	1484.155873
9.580000	1503.783491
9.590000	1549.481516
9.600000	1566.805757
9.610000	1656.298598
9.620000	1824.634838
9.630000	1930.513159
9.640000	1930.513159
9.650000	1930.513159
9.660000	1887.172557
9.670000	1800.913444
9.680000	1664.744377
9.690000	1489.418890
9.700000	1329.491703
9.710000	1207.891446
9.720000	1093.142340
9.730000	935.364946
9.740000	735.984125
9.750000	513.935515
9.760000	280.853565
9.770000	7.440099
9.780000	-300.134412
9.790000	-713.224356
9.800000	-1320.126309
9.810000	-2131.634605
9.820000	-2926.440645
9.830000	-3470.972356
9.840000	-3960.896348
9.850000	-4529.101343
9.860000	-5007.490237
9.870000	-5251.260357
9.880000	-5347.688753
9.890000	-5398.442036
9.900000	-5398.442036
9.910000	-5398.442036
9.920000	-5186.349564
9.930000	-4821.679463
9.940000	-4430.401602
9.950000	-4046.639004
9.960000	-3737.519566
9.970000	-3464.283862
9.980000	-3215.690096
9.990000	-3018.009561
10.000000	-2844.694162
10.010000	-2723.864797
10.020000	-2654.598600
10.030000	-2597.595513
10.040000	-2554.597374
10.050000	-2551.374544
10.060000	-2518.317188
10.070000	-2450.314409
10.080000	-2363.078538
10.090000	-2286.277593
10.100000	-2195.677458
10.110000	-2081.266069
10.120000	-2000.448375
10.130000	-1917.987514
10.140000	-1866.393352
10.150000	-1818.533697
10.160000	-1760.363372
10.170000	-1709.155533
10.180000	-1693.021403
10.190000	-1692.799799
10.200000	-1691.634181
10.210000	-1692.799799
10.220000	-1693.021403
10.230000	-1701.497599
10.240000	-1713.039090
10.250000	-1713.039090
10.260000	-1713.039090
10.270000	-1679.973903
10.280000	-1628.807326
10.290000	-1570.694268
10.300000	-1512.559578
10.310000	-1458.402620
10.320000	-1386.236858
10.330000	-1293.160157
10.340000	-1222.036968
10.350000	-1182.824793
10.360000	-1134.695413
10.370000	-1096.651917
10.380000	-1086.348639
10.390000	-1068.331982
10.400000	-1038.085957
10.410000	-1021.093868
10.420000	-994.690760
10.430000	-966.940174
10.440000	-944.291436
10.450000	-900.697816
10.460000	-893.765791
10.470000	-893.765791
10.480000	-893.765791
10.490000	-917.163784
10.500000	-944.363036
10.510000	-948.985869
10.520000	-954.881695
10.530000	-957.957708
10.540000	-992.555194
10.550000	-995.159937
10.560000	-995.159937
10.570000	-995.159937
10.580000	-989.780995
10.590000	-984.302986
10.600000	-971.039058
10.610000	-957.598822
10.620000	-933.655114
10.630000	-906.484697
10.640000	-891.408983
10.650000	-889.757429
10.660000	-885.281257
10.670000	-881.438048
10.680000	-864.229886
