Time(s)	RED_denoised_median
4.580000	-101.911502
4.590000	-128.139509
4.600000	-146.613198
4.610000	-147.768053
4.620000	-190.854241
4.630000	-236.794023
4.640000	-266.407947
4.650000	-266.947462
4.660000	-271.032569
4.670000	-284.034996
4.680000	-303.707824
4.690000	-363.279706
4.700000	-397.881404
4.710000	-397.881404
4.720000	-397.881404
4.730000	-341.043137
4.740000	-339.140851
4.750000	-320.079732
4.760000	-236.477030
4.770000	-183.516736
4.780000	-151.534051
4.790000	-114.918738
4.800000	-100.744541
4.810000	-81.178679
4.820000	-19.940547
4.830000	35.322173
4.840000	81.978424
4.850000	102.774224
4.860000	121.000144
4.870000	146.179880
4.880000	161.942182
4.890000	194.694498
4.900000	232.771142
4.910000	274.227329
4.920000	301.548875
4.930000	308.655093
4.940000	308.655093
4.950000	308.655093
4.960000	220.661202
4.970000	122.475052
4.980000	52.254299
4.990000	3.163075
5.000000	-35.170666
5.010000	-61.124299
5.020000	-76.613682
5.030000	-78.994764
5.040000	-78.994764
5.050000	-78.994764
5.060000	-62.665944
5.070000	-61.127725
5.080000	-61.127725
5.090000	-62.665944
5.100000	-83.880736
5.110000	-87.139293
5.120000	-87.139293
5.130000	-83.880736
5.140000	-78.343158
5.150000	-69.416132
5.160000	-54.891982
5.170000	-43.740778
5.180000	-22.387023
5.190000	8.888395
5.200000	25.041815
5.210000	45.631980
5.220000	71.410924
5.230000	91.335107
5.240000	104.800662
5.250000	141.112352
5.260000	156.983006
5.270000	177.068208
5.280000	207.105405
5.290000	223.606738
5.300000	223.606738
5.310000	223.606738
5.320000	179.783447
5.330000	90.090941
5.340000	-3.570885
5.350000	-74.474455
5.360000	-126.015876
5.370000	-170.071060
5.380000	-170.071060
5.390000	-170.071060
5.400000	-128.825219
5.410000	-119.498319
5.420000	-109.938812
5.430000	-97.433636
5.440000	-71.037662
5.450000	-61.491303
5.460000	-43.991804
5.470000	-15.616899
5.480000	25.042076
5.490000	48.163921
5.500000	74.206254
5.510000	101.877220
5.520000	128.358467
5.530000	154.593090
5.540000	188.522151
5.550000	196.186136
5.560000	231.920614
5.570000	231.920614
5.580000	231.920614
5.590000	207.373761
